'Elapsed time','ABP'
seconds','mmhg'
25.580,89.395
25.600,82.613
25.620,79.265
25.640,77.572
25.660,77.958
25.680,79.178
25.700,80.410
25.720,80.895
25.740,80.908
25.760,79.489
25.780,77.585
25.800,74.859
25.820,71.424
25.840,68.836
25.860,66.546
25.880,64.729
25.900,63.210
25.920,65.040
25.940,86.769
25.960,115.730
25.980,131.150
26.000,139.936
26.020,137.858
26.040,131.448
26.060,122.799
26.080,112.755
26.100,102.861
26.120,92.532
26.140,85.027
26.160,80.559
26.180,78.854
26.200,79.265
26.220,80.385
26.240,81.281
26.260,82.090
26.280,81.829
26.300,80.933
26.320,79.003
26.340,76.614
26.360,73.752
26.380,70.926
26.400,68.574
26.420,66.844
26.440,65.351
26.460,65.177
26.480,79.389
26.500,109.681
26.520,126.221
26.540,138.057
26.560,140.036
26.580,135.867
26.600,129.308
26.620,120.285
26.640,110.914
26.660,100.770
26.680,91.524
26.700,85.064
26.720,81.903
26.740,80.708
26.760,81.381
26.780,82.351
26.800,83.646
26.820,84.330
26.840,84.330
26.860,83.484
26.880,81.592
26.900,79.327
26.920,78.419
26.940,78.319
26.960,77.995
26.980,77.622
27.000,74.859
27.020,71.910
27.040,68.213
27.060,66.172
27.080,64.231
27.100,63.086
27.120,62.488
27.140,61.966
27.160,61.294
27.180,61.269
27.200,61.767
27.220,60.895
27.240,60.547
27.260,59.987
27.280,59.041
27.300,58.556
27.320,58.083
27.340,57.448
27.360,56.340
27.380,55.843
27.400,54.946
27.420,54.648
27.440,54.125
27.460,53.154
27.480,52.072
27.500,51.661
27.520,50.864
27.540,50.815
27.560,59.302
27.580,89.296
27.600,105.935
27.620,117.485
27.640,125.251
27.660,124.491
27.680,119.576
27.700,111.523
27.720,101.803
27.740,91.548
27.760,82.451
27.780,76.502
27.800,73.478
27.820,72.582
27.840,72.980
27.860,74.872
27.880,76.303
27.900,77.634
27.920,78.867
27.940,78.506
27.960,76.726
27.980,74.063
28.000,71.325
28.020,68.636
28.040,66.359
28.060,64.517
28.080,63.360
28.100,67.753
28.120,91.772
28.140,114.796
28.160,127.453
28.180,134.261
28.200,132.718
28.220,128.126
28.240,121.915
28.260,114.149
28.280,105.375
28.300,96.116
28.320,88.026
28.340,82.438
28.360,78.730
28.380,78.045
28.400,77.846
28.420,78.767
28.440,79.277
28.460,79.875
28.480,79.364
28.500,77.809
28.520,75.469
28.540,72.669
28.560,70.304
28.580,67.765
28.600,65.600
28.620,64.156
28.640,66.384
28.660,90.553
28.680,116.427
28.700,129.918
28.720,138.343
28.740,137.547
28.760,133.203
28.780,127.005
28.800,118.903
28.820,109.532
28.840,100.198
28.860,91.100
28.880,85.313
28.900,81.729
28.920,79.999
28.940,79.900
28.960,80.348
28.980,81.729
29.000,81.829
29.020,81.269
29.040,78.904
29.060,76.987
29.080,74.374
29.100,70.926
29.120,68.686
29.140,66.284
29.160,64.330
29.180,68.251
29.200,91.922
29.220,115.220
29.240,127.802
29.260,135.941
29.280,134.162
29.300,129.333
29.320,123.210
